PlaceID,abbreviation,name
1888363,KURAWALI PATI,KURAWALI PATI
1888668,,KUKUMBH
1888973,KARKHEL,KARKHEL
1889278,,THOR PHATA
1889583,,Rashinh
1889888,,TARAPUR
1890193,,Sanghora
1890498,,Pahunewadi
1890803,,Indhapur
1891108,,Kudal
1891413,,SANGOLI
1891718,,DUDHANI
2196413,,GOKHALI 
2196718,,ANGAR PATI
2197023,,MIRAJGAON
2197328,,SANGALI
2197633,,DOMBALVADI
2197938,,SANGAMNAGAR
2198243,,ZHARGADWADI
2198548,,BARAMATI(JALONCHI)
2198853,,URLI KANCHAN
2199158,,NARAYANGAON
2199463,,SHIRAPUR-MOHOL
2199768,,KHADALI
2200073,,DAOUND
2200378,,WAGHOL
2200683,,Takali
2200988,,SANGHVI
2201293,,VENUNAGAR
2201598,,KUKDHI
2201903,,RAYTE MALA
2202208,,BARAMAI
2202513,,WAGHOIL
2202818,,DHAYATI
2203123,,MANGADVEDA
2203428,,URLI DEWACHI
2508123,,PANDHARUR
2508428,,KASHT
2508733,,SHELARWADI
2509038,,Yawet
2509343,,"Urbangram,baramati"
2509648,,"Urbangram,"
2509953,,SALMUKH
2510258,,SOLAPUR-DAHIVALI
2510563,,AJNALE
2510868,,HIRADGAON
2511173,,BARAMTI
2511478,,SHARDA NAGAR
2511783,,NAZAREKADE P
2512088,,GOTANDI(NIMGAON)
2512393,,WAGHOLIi
2512698,,BHAWANINAGAR
2513003,,Viman Nagar
2513308,,URALIKANCHANakluj
2513613,,SHIVARI
2513918,,MAUD
2514223,,PILIV / KANDALI
2514528,,BARMATI
2514833,,MUMBAI
2515138,,ANKLESHWAR
2515443,,KANDALI
2515748,,Brahmapuri
2516053,,CHOUDHARWADI
2516358,,JAJOBAWADI
2516663,,Arjun Sondphata
2516968,,GUNAWADI
2517273,,BHOSE PHATA PANDHARPUR
2517578,,Ginpuri
2517883,,ANDORI
2518188,,VEER
2518493,,SUPA(BARAMATI)
2518798,,MALEGAON(police Station)
2519103,,GOJUBAI
2519408,,SURWADI Phata
2519713,,YELIV
2520018,,PHONDSHIRAS
2520323,,WADALA
2520628,BORIBEL,BORIBEL
2520933,SHELGAON(PARANDA),SHELGAON(PARANDA)
2521238,,SOLPAUR
2521543,,CHIKHALI
2521848,,WAGFHOLI
2522153,,DEVADI PATI
2522458,,MARWADE
2522763,,SONWADI BK
2523068,,WADAJAL
2523373,,Mahad
2523678,,LAKDI
2523983,,Whale Railway Crossing Nira Road
2524288,,HATID
2524593,,Kole 
2524898,,GALANDEWADI No 1
2525203,,Kolhar
2525508,,DANWADI SUPE
2525813,,METHAVADE 
2526118,,Medhapur
2526423,,MAINDARGI
2526728,,Hajipur
2527033,,Bhandisgaon
2527338,,RAJALE
2527643,,Karawaghaj
2527948,,GANGEWADI
2528253,,MUDHALE
2528558,,Mandve Patil
2528863,,CHOFULA
2529168,,PAKHNI
2529473,,Sakharpeth (solapur)
2529778,,KVEGAV
2530083,,Dharampuri
2530388,,KASURDI Phata
2530693,BHOSE PATI,BHOSE PATI
2530998,,KURDU
2531303,,INDAPUR(MIDC)
2531608,,NANDAL
2531913,,HOTAGI SOLAPUR
2532218,,BELWANDI
2532523,,Kasba Baramati
2532828,,KOLGAON
2533133,,Nagthana
2533438,KAMTI,KAMTI
2533743,,SALMUKH Chowk
2534048,,PANGARE
2534353,,SOMANTHALI
2534658,,Devalgaon Gada
2534963,,REDNI
2535268,,TALEGAON
2535573,,PATETHAN
2535878,,LONI PATI
2536183,,SONWADI(DAUND)
2536488,,MOREWASTI(DAUND)
2536793,,C
2537098,WANJARWADI,WANJARWADI
2537403,,BARAMATI MIDC
2537708,,KATDETHAN
2538013,,Nimbodi [ LONAND ]
2538318,,ZIRVWDI
2538623,,KADAMVAKVSTI
2538928,,WAGHOL;I
2539233,,DEVADI 
2539538,,``
