owner,vehicleType,vehicleNo,make,capacity,regDate,chassisNo,engineNo,createdBy
UNKNOWN,UNKNOWN,MH12UM8195,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH 12 UM2827,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH14JP7804,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH16CC4102,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13DQ0816,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12HD5577,,,NULL,,,System
UNKNOWN,UNKNOWN,MH45AF8037,,,NULL,,,System
UNKNOWN,UNKNOWN,MH42EQ1009,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12QW5300,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH14JP6166,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH45AF7468,,,NULL,,,System
UNKNOWN,UNKNOWN,MH42BF1656,,,NULL,,,System
UNKNOWN,UNKNOWN,MH45AF8606,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12TV5523,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH13EB4101,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH12TV 5523,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH425M5613,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MHO4CU3126,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH11BD4646,,,NULL,,,System
UNKNOWN,UNKNOWN,MH13DQ1108,NULL,NULL,NULL,NULL,NULL,System
UNKNOWN,UNKNOWN,MH50N1117,,,NULL,,,System
UNKNOWN,UNKNOWN,MH12LT1285,,,NULL,,,System
UNKNOWN,UNKNOWN,MH42AQ6370,,,NULL,,,System
UNKNOWN,UNKNOWN,MH44Q0896,,,NULL,,,System
UNKNOWN,UNKNOWN,17215,NULL,NULL,NULL,NULL,NULL,System
