PackageID,name,description,Returnable,Rate
1246,CASTING PLATE,,,
1247,GONI PUMP,,,
1248,160LW-2520,,,
1249,205-3250,,,
1250,190-3150,,,
1251,RIM BUNDAL,,,
1252,185/65 R15 TYRE,,,
1253,PATTI,,,
1254,PATTI BUNADAL,,,
1255,WIREROOP BUNDAL,,,
1256,210-3250,,0,0:00 
1257,210-3240,,,
1258,6.50-16 TYRE,TYRE,0,0:00 
1259,100/90-17 TYRE,TYRE,0,0:00 
1260,165 D14 TYRE,TYRE,0,0:00 
1261,2.50-16 TYRE,TYRE,0,0:00 
1262,3.50-19 TYRE,TYRE,0,0:00 
1263,90/90-17 TYRE,TYRE,0,0:00 
1264,155 D12 TYRE,TYRE,0,0:00 
1265,130/70-17 TYRE,TYRE,0,0:00 
1266,3.00-10 TYRE,TYRE,0,0:00 
1267,220-3250,,,
1268,6.50-20 TYRE,TYRE,0,0:00 
1269,175/65 R14 TYRE,TYRE,0,0:00 
1270,170-3020,,,
1271,215-125 20KG,,,
1272,DRIP BUNDAL,,,
1273,6.5/80-12 TYRE,,,
1274,7.,,,
1275,295/ 80 R22.5 TYRE,TYRE,0,0:00 
1276,BAG BUNADAL,,,
1277,DARWAJA,,,
1278,LOOSE,,,
1279,170-2520,RUBER,0,0:00 
1280,CK BOX,,,
1281,170-2670,,,
1282,155/80 R13,,,
1283,230-3290,RUBBER,0,0:00 
1284,120.80-17,,,
1285,140/70-17 TYRE,TYRE,0,0:00 
1286,9.5-24 TYRE,TYRE,0,0:00 
1287,DOOR,,,
1288,MOTAR LOOSE,,,
1289,110/90-18 TYRE,,,
1290,140/60 R17 TYRE,TYRE,0,0:00 
1291,3.50-10 TYRE,TYRE,0,0:00 
1292,BAKET,,,
1293,195/70R14,,,
1294,215/65 R16 TYRE,TYRE,0,0:00 
1295,80/100-17 TYRE,TYRE,0,0:00 
1296,DT CUSHION 215-125,BOX,0,0:00 
1297,3.25-19 TYRE,TYRE,0,0:00 
1298,BAREL,,,
1299,90/100-17 TYRE,TYRE,0,0:00 
1300,150/60 R17 TYRE,TYRE,0,0:00 
1301,220-3240,RUBBER,0,0:00 
1302,165 D13 TYRE,TYRE,0,0:00 
1303,215/60 R16 TYRE,TYRE,0,0:00 
1304,185/70 R14 TYRE,TYRE,0,0:00 
1305,180/85 D12 TYRE,TYRE,0,0:00 
1306,F.78-15 8PR TYRE,TYRE,0,0:00 
1307,145/80 R13 TYRE,TYRE,0,0:00 
1308,165/ R14 TYRE,TYRE,0,0:00 
1309,90/90-19 TYRE,TYRE,0,0:00 
1310,CARETE,,,
1311,23.8-12 TYRE,,,
1312,GHADI,,,
1313,CHAIR BUNDAL,,,
1314,SEED BAG,,,
1315,185/70 R13 TYRE,,,
1316,16.,,,
1317,KAPAD ROLL,,,
1318,175/65 R15 TYRE,,,
1319,TUBE ,,,
1320,195/55 R16 TYRE,,,
1321,155/80R12 TYRE,,,
1322,GIFT BOX,,,
1323,JOD BOX,,,
1324,550-16 TYRE,,,
1325,80/100-10 TYRE,,,
1326,235/70 R16 TYRE,,,
1327,155 R13 TYRE,,,
1328,RETUN BOX,,,
1329,215/80 D14 TYRE,,,
1330,215/55 R17 TYRE,,,
1331,185/65 R16 TYRE,,,
1332,5.50-16 TYRE,,,
1333,275/15 R15 TYRE,,,
1334,235/55 R17 TYRE,,,
1335,ROD,,,
1336,168-2670,,,
1337,235/75 R17 TYRE,TYRE,0,0:00 
1338,235/75 R15 TYRE,,,
1339,120/80,,,
1340,14.00-25 TYRE,TYRE,0,0:00 
1341,4.00-18 TYRE,,,
1342,PLATE,,,
1343,NOS,,,
1344,185/85 R15,,,
1345,135/70 R12,,,
1346,155 R14,,,
1347,165 D12 TYRE,,,
2347,120/80-18 TYRE,,,
2348,120/80-17 TYRE,,,
2349,160-2510,,,
2350,225/75 R17 TYRE,,,
2351,265/65 R17 TYRE,,,
2352,195/65 R16 TYRE,,,
2353,MOTOR,,,
3353,5  .25  -24 TYRE,TYRE,0,0:00 
3354,CHAIN KIT,,,
3355,165/80 R15 TYRE,TYRE,0,0:00 
3356,205-3230,,,
3357,16.9-30 TYRE,,,
3358,6.50-10,,,
3359,6.50-10 TYRE,,,
3360,7.00-12 TYRE,,,
3361,PUMP MOTOR 15 HP,,,
3362,SEAT COVER GATH,,,
3363,SEAT CAR,,,
3364,SPA,,,
3365,PLANT,,,
3366,LOKHANDI PART,,,
3367,BOX(PATRA),,,
3368,BUMPER,,,
3369,SPARE PART,,,
3370,PUMP MOTOR,,,
3371,5.00-15 TYRE,TYRE,0,0:00 
3372,TANK,,,
3373,CHACI,,,
3374,BANDAL,,,
3375,8.00-16 TYRE,,,
3376,190/3250,,,
3377,PATRA,,,
